question_id,module_id,phase_id,q_num,question_type,prompt_en,prompt_zh,prompt_es,option_a_en,option_a_zh,option_a_es,option_b_en,option_b_zh,option_b_es,option_c_en,option_c_zh,option_c_es,option_d_en,option_d_zh,option_d_es,correct_option,explanation_a_en,explanation_a_zh,explanation_a_es,explanation_b_en,explanation_b_zh,explanation_b_es,explanation_c_en,explanation_c_zh,explanation_c_es,explanation_d_en,explanation_d_zh,explanation_d_es,fallback_tip_en,fallback_tip_zh,fallback_tip_es,difficulty,review_status,review_notes
tenses_present_q01,tenses,present,1,multiple_choice_single,She ___ to work by bus every day.,She ___ to work by bus every day.,She ___ to work by bus every day.,go,go,go,goes,goes,goes,going,going,going,is go,is go,is go,B,Base form without -s does not match she.,选项 A。,Opción A.,Correct! She + goes in present simple.,正确！选项 B。,¡Correcto! Opción B.,Going alone is incomplete.,选项 C。,Opción C.,Is go is ungrammatical.,选项 D。,Opción D.,Present simple: he/she/it + verb-s.,Present simple: he/she/it + verb-s.,Present simple: he/she/it + verb-s.,2,draft,
tenses_present_q02,tenses,present,2,multiple_choice_single,Right now they ___ lunch together.,Right now they ___ lunch together.,Right now they ___ lunch together.,have,have,have,are having,are having,are having,has,has,has,having,having,having,B,"Have is simple present, not for right now.",选项 A。,Opción A.,Correct! Are having = present continuous.,正确！选项 B。,¡Correcto! Opción B.,Has does not match plural they.,选项 C。,Opción C.,Having alone misses auxiliary are.,选项 D。,Opción D.,Present continuous: am/is/are + -ing.,Present continuous: am/is/are + -ing.,Present continuous: am/is/are + -ing.,2,draft,
tenses_present_q03,tenses,present,3,multiple_choice_single,I ___ that film before. It is wonderful.,I ___ that film before. It is wonderful.,I ___ that film before. It is wonderful.,see,see,see,saw,saw,saw,have seen,have seen,have seen,seeing,seeing,seeing,C,See is base form.,选项 A。,Opción A.,Saw is past simple but before needs perfect.,选项 B。,Opción B.,Correct! Have seen = experience with present relevance.,正确！选项 C。,¡Correcto! Opción C.,Seeing alone is incomplete.,选项 D。,Opción D.,Present perfect: have/has + past participle.,Present perfect: have/has + past participle.,Present perfect: have/has + past participle.,2,draft,
tenses_present_q04,tenses,present,4,multiple_choice_single,The sun ___ in the east.,The sun ___ in the east.,The sun ___ in the east.,rise,rise,rise,rises,rises,rises,is rising,is rising,is rising,rose,rose,rose,B,Rise lacks -s for third person.,选项 A。,Opción A.,Correct! General truth uses present simple.,正确！选项 B。,¡Correcto! Opción B.,"Is rising = happening now, not a fact.",选项 C。,Opción C.,Rose is past tense.,选项 D。,Opción D.,Present simple for general facts.,Present simple for general facts.,Present simple for general facts.,2,draft,
tenses_present_q05,tenses,present,5,multiple_choice_single,She ___ English at a school this month.,She ___ English at a school this month.,She ___ English at a school this month.,study,study,study,studies,studies,studies,is studying,is studying,is studying,studied,studied,studied,C,Study lacks -s or is simple present.,选项 A。,Opción A.,"Studies is permanent habit, not temporary.",选项 B。,Opción B.,Correct! Is studying = temporary.,正确！选项 C。,¡Correcto! Opción C.,Studied is past tense.,选项 D。,Opción D.,Present continuous for temporary situations.,Present continuous for temporary situations.,Present continuous for temporary situations.,2,draft,
tenses_present_q06,tenses,present,6,multiple_choice_single,We ___ to Paris three times since 2020.,We ___ to Paris three times since 2020.,We ___ to Paris three times since 2020.,go,go,go,went,went,went,have been,have been,have been,are going,are going,are going,C,Go is present simple.,选项 A。,Opción A.,Went is past simple — since 2020 needs perfect.,选项 B。,Opción B.,Correct! Have been = experience from past to now.,正确！选项 C。,¡Correcto! Opción C.,Are going = future plan.,选项 D。,Opción D.,Present perfect with since/for.,Present perfect with since/for.,Present perfect with since/for.,2,draft,
tenses_past_q01,tenses,past,1,multiple_choice_single,Last weekend they ___ to the beach.,Last weekend they ___ to the beach.,Last weekend they ___ to the beach.,go,go,go,went,went,went,have gone,have gone,have gone,were going,were going,were going,B,Go is base form.,选项 A。,Opción A.,Correct! Last weekend + went.,正确！选项 B。,¡Correcto! Opción B.,Have gone is present perfect — conflict.,选项 C。,Opción C.,Were going implies interruption.,选项 D。,Opción D.,Past simple with specific past time.,Past simple with specific past time.,Past simple with specific past time.,2,draft,
tenses_past_q02,tenses,past,2,multiple_choice_single,"While I ___, the phone rang.","While I ___, the phone rang.","While I ___, the phone rang.",cook,cook,cook,cooked,cooked,cooked,was cooking,was cooking,was cooking,have cooked,have cooked,have cooked,C,Cook is base form.,选项 A。,Opción A.,Cooked is past simple — while needs continuous.,选项 B。,Opción B.,Correct! Was cooking = background when phone rang.,正确！选项 C。,¡Correcto! Opción C.,Have cooked is present perfect.,选项 D。,Opción D.,Past continuous for background interrupted action.,Past continuous for background interrupted action.,Past continuous for background interrupted action.,2,draft,
tenses_past_q03,tenses,past,3,multiple_choice_single,She ___ her homework before dinner yesterday.,She ___ her homework before dinner yesterday.,She ___ her homework before dinner yesterday.,finishes,finishes,finishes,finished,finished,finished,had finished,had finished,had finished,has finished,has finished,has finished,C,Finishes is present.,选项 A。,Opción A.,Finished is simple past — needs earlier timing.,选项 B。,Opción B.,Correct! Had finished = before dinner (past).,正确！选项 C。,¡Correcto! Opción C.,Has finished is present perfect.,选项 D。,Opción D.,Past perfect for action before another past action.,Past perfect for action before another past action.,Past perfect for action before another past action.,2,draft,
tenses_past_q04,tenses,past,4,multiple_choice_single,"When I was a child, I ___ in the park daily.","When I was a child, I ___ in the park daily.","When I was a child, I ___ in the park daily.",play,play,play,played,played,played,was playing,was playing,was playing,have played,have played,have played,B,Play is base form.,选项 A。,Opción A.,Correct! Past habit = played.,正确！选项 B。,¡Correcto! Opción B.,"Was playing = continuous, not repeated habit.",选项 C。,Opción C.,Have played = present perfect.,选项 D。,Opción D.,Past simple for repeated past habits.,Past simple for repeated past habits.,Past simple for repeated past habits.,2,draft,
