question_id,module_id,phase_id,q_num,question_type,prompt_en,prompt_zh,prompt_es,option_a_en,option_a_zh,option_a_es,option_b_en,option_b_zh,option_b_es,option_c_en,option_c_zh,option_c_es,option_d_en,option_d_zh,option_d_es,correct_option,explanation_a_en,explanation_a_zh,explanation_a_es,explanation_b_en,explanation_b_zh,explanation_b_es,explanation_c_en,explanation_c_zh,explanation_c_es,explanation_d_en,explanation_d_zh,explanation_d_es,fallback_tip_en,fallback_tip_zh,fallback_tip_es,difficulty,review_status,review_notes
sentence_structure_word_order_q01,sentence_structure,word_order,1,multiple_choice_single,Choose the correct word order:,Choose the correct word order:,Choose the correct word order:,She speaks well English.,She speaks well English.,She speaks well English.,She speaks English well.,She speaks English well.,She speaks English well.,She well speaks English.,She well speaks English.,She well speaks English.,Well she speaks English.,Well she speaks English.,Well she speaks English.,B,"Well English = adverb before object, wrong.",选项 A。,Opción A.,Correct! English well = S-V-O-Adv.,正确！选项 B。,¡Correcto! Opción B.,"Well speaks = adverb between subject and verb, wrong.",选项 C。,Opción C.,"Well she = inverted, poetic or wrong.",选项 D。,Opción D.,English word order: Subject-Verb-Object-Adverb.,English word order: Subject-Verb-Object-Adverb.,English word order: Subject-Verb-Object-Adverb.,2,draft,
sentence_structure_word_order_q02,sentence_structure,word_order,2,multiple_choice_single,Choose the correct word order:,Choose the correct word order:,Choose the correct word order:,Never I have seen such beauty.,Never I have seen such beauty.,Never I have seen such beauty.,Never have I seen such beauty.,Never have I seen such beauty.,Never have I seen such beauty.,I never have seen such beauty.,I never have seen such beauty.,I never have seen such beauty.,I have never seen such beauty.,I have never seen such beauty.,I have never seen such beauty.,B,Never I = no inversion after fronted negative.,选项 A。,Opción A.,Correct! Never have I = negative adverb + inversion.,正确！选项 B。,¡Correcto! Opción B.,I never have = awkward placement.,选项 C。,Opción C.,I have never = correct but not after fronted never.,选项 D。,Opción D.,Inversion after negative adverb at the start.,Inversion after negative adverb at the start.,Inversion after negative adverb at the start.,2,draft,
sentence_structure_questions_q01,sentence_structure,questions,1,multiple_choice_single,___ you ___ where the museum is?,___ you ___ where the museum is?,___ you ___ where the museum is?,Are ... know,Are ... know,Are ... know,Do ... know,Do ... know,Do ... know,Have ... known,Have ... known,Have ... known,Did ... knew,Did ... knew,Did ... knew,B,"Are know = be + base verb, wrong.",选项 A。,Opción A.,Correct! Do you know = do-support.,正确！选项 B。,¡Correcto! Opción B.,"Have known = present perfect, not simple question.",选项 C。,Opción C.,"Did knew = wrong (did + base, not past).",选项 D。,Opción D.,Do-support for present simple questions.,Do-support for present simple questions.,Do-support for present simple questions.,2,draft,
sentence_structure_questions_q02,sentence_structure,questions,2,multiple_choice_single,___ she ___ at the moment?,___ she ___ at the moment?,___ she ___ at the moment?,Does ... work,Does ... work,Does ... work,Is ... working,Is ... working,Is ... working,Has ... worked,Has ... worked,Has ... worked,Did ... working,Did ... working,Did ... working,B,Does work = simple present question.,选项 A。,Opción A.,Correct! Is working = present continuous question.,正确！选项 B。,¡Correcto! Opción B.,Has worked = present perfect.,选项 C。,Opción C.,Did working = wrong form.,选项 D。,Opción D.,Present continuous question: is + -ing.,Present continuous question: is + -ing.,Present continuous question: is + -ing.,2,draft,
sentence_structure_negation_q01,sentence_structure,negation,1,multiple_choice_single,She ___ like coffee.,She ___ like coffee.,She ___ like coffee.,do not,do not,do not,does not,does not,does not,is not,is not,is not,has not,has not,has not,B,Do not = for I/you/we/they.,选项 A。,Opción A.,Correct! Does not like = third person negation.,正确！选项 B。,¡Correcto! Opción B.,"Is not = be-verb negation, different.",选项 C。,Opción C.,Has not = perfect negation.,选项 D。,Opción D.,Does not for third person singular negative.,Does not for third person singular negative.,Does not for third person singular negative.,2,draft,
sentence_structure_negation_q02,sentence_structure,negation,2,multiple_choice_single,I have ___ been to Japan.,I have ___ been to Japan.,I have ___ been to Japan.,not,not,not,never,never,never,no,no,no,none,none,none,B,Not = would need have not been.,选项 A。,Opción A.,Correct! Never been = have never been.,正确！选项 B。,¡Correcto! Opción B.,No = wrong with been.,选项 C。,Opción C.,"None = pronoun, not adverb.",选项 D。,Opción D.,Never with present perfect for experiences.,Never with present perfect for experiences.,Never with present perfect for experiences.,2,draft,
sentence_structure_clauses_q01,sentence_structure,clauses,1,multiple_choice_single,"Identify the subordinate clause: ""I will call you when I arrive.""","Identify the subordinate clause: ""I will call you when I arrive.""","Identify the subordinate clause: ""I will call you when I arrive.""",I will call you,I will call you,I will call you,when I arrive,when I arrive,when I arrive,will call,will call,will call,call you,call you,call you,B,I will call you = main clause.,选项 A。,Opción A.,Correct! When I arrive = subordinate time clause.,正确！选项 B。,¡Correcto! Opción B.,Will call = verb phrase only.,选项 C。,Opción C.,"Call you = verb + object, not a clause.",选项 D。,Opción D.,Subordinate clause introduced by when.,Subordinate clause introduced by when.,Subordinate clause introduced by when.,2,draft,
sentence_structure_clauses_q02,sentence_structure,clauses,2,multiple_choice_single,Which is a complete sentence?,Which is a complete sentence?,Which is a complete sentence?,Because I was tired.,Because I was tired.,Because I was tired.,Although it rained.,Although it rained.,Although it rained.,She went home.,She went home.,She went home.,When he arrived.,When he arrived.,When he arrived.,C,"Because = subordinate clause, incomplete.",选项 A。,Opción A.,"Although = subordinate clause, incomplete.",选项 B。,Opción B.,Correct! She went home = independent clause.,正确！选项 C。,¡Correcto! Opción C.,"When = subordinate clause, incomplete.",选项 D。,Opción D.,Complete sentence = independent clause.,Complete sentence = independent clause.,Complete sentence = independent clause.,2,draft,
sentence_structure_cleft_q01,sentence_structure,cleft,1,multiple_choice_single,___ was John ___ broke the window.,___ was John ___ broke the window.,___ was John ___ broke the window.,It ... who,It ... who,It ... who,What ... that,What ... that,What ... that,That ... who,That ... who,That ... who,He ... that,He ... that,He ... that,A,Correct! It was John who = cleft for emphasis.,正确！选项 A。,¡Correcto! Opción A.,What...that = wrong cleft pattern.,选项 B。,Opción B.,That...who = wrong.,选项 C。,Opción C.,He...that = wrong.,选项 D。,Opción D.,It-cleft: It is/was + focused element + who/that clause.,It-cleft: It is/was + focused element + who/that clause.,It-cleft: It is/was + focused element + who/that clause.,2,draft,
sentence_structure_cleft_q02,sentence_structure,cleft,2,multiple_choice_single,___ I need is a good rest.,___ I need is a good rest.,___ I need is a good rest.,It,It,It,What,What,What,That,That,That,Which,Which,Which,B,It = would need is that pattern.,选项 A。,Opción A.,Correct! What I need = wh-cleft.,正确！选项 B。,¡Correcto! Opción B.,That = wrong for cleft subject.,选项 C。,Opción C.,"Which = specific choice, not cleft.",选项 D。,Opción D.,Wh-cleft: What + clause + is + focused element.,Wh-cleft: What + clause + is + focused element.,Wh-cleft: What + clause + is + focused element.,2,draft,
