question_id,module_id,phase_id,q_num,question_type,prompt_en,prompt_zh,prompt_es,option_a_en,option_a_zh,option_a_es,option_b_en,option_b_zh,option_b_es,option_c_en,option_c_zh,option_c_es,option_d_en,option_d_zh,option_d_es,correct_option,explanation_a_en,explanation_a_zh,explanation_a_es,explanation_b_en,explanation_b_zh,explanation_b_es,explanation_c_en,explanation_c_zh,explanation_c_es,explanation_d_en,explanation_d_zh,explanation_d_es,fallback_tip_en,fallback_tip_zh,fallback_tip_es,difficulty,review_status,review_notes
passive_recognition_q01,passive,recognition,1,multiple_choice_single,Which sentence is passive?,Which sentence is passive?,Which sentence is passive?,The chef cooked the meal.,The chef cooked the meal.,The chef cooked the meal.,The meal was cooked by the chef.,The meal was cooked by the chef.,The meal was cooked by the chef.,The chef is cooking the meal.,The chef is cooking the meal.,The chef is cooking the meal.,The chef cooks meals.,The chef cooks meals.,The chef cooks meals.,B,Active: chef does the cooking.,选项 A。,Opción A.,Correct! Was cooked = passive (be + past participle).,正确！选项 B。,¡Correcto! Opción B.,Active: chef is doing the cooking.,选项 C。,Opción C.,Active: chef does the cooking habitually.,选项 D。,Opción D.,Passive = be + past participle. Subject receives action.,Passive = be + past participle. Subject receives action.,Passive = be + past participle. Subject receives action.,2,draft,
passive_recognition_q02,passive,recognition,2,multiple_choice_single,The window ___ by the wind.,The window ___ by the wind.,The window ___ by the wind.,broke,broke,broke,was broken,was broken,was broken,breaks,breaks,breaks,is breaking,is breaking,is breaking,B,Broke = active past.,选项 A。,Opción A.,Correct! Was broken = passive.,正确！选项 B。,¡Correcto! Opción B.,Breaks = active present.,选项 C。,Opción C.,Is breaking = active continuous.,选项 D。,Opción D.,Passive voice: be + past participle.,Passive voice: be + past participle.,Passive voice: be + past participle.,2,draft,
passive_recognition_q03,passive,recognition,3,multiple_choice_single,Identify the passive:,Identify the passive:,Identify the passive:,They built this house in 1920.,They built this house in 1920.,They built this house in 1920.,This house was built in 1920.,This house was built in 1920.,This house was built in 1920.,They were building this house.,They were building this house.,They were building this house.,They have built this house.,They have built this house.,They have built this house.,B,Active: they built.,选项 A。,Opción A.,Correct! Was built = passive (subject receives action).,正确！选项 B。,¡Correcto! Opción B.,Active continuous: they were building.,选项 C。,Opción C.,Active perfect: they have built.,选项 D。,Opción D.,Subject receives action in passive.,Subject receives action in passive.,Subject receives action in passive.,2,draft,
passive_recognition_q04,passive,recognition,4,multiple_choice_single,English ___ all over the world.,English ___ all over the world.,English ___ all over the world.,speaks,speaks,speaks,is spoken,is spoken,is spoken,speaking,speaking,speaking,has spoken,has spoken,has spoken,B,"Speaks = active, English is the speaker.",选项 A。,Opción A.,"Correct! Is spoken = passive, English is the language spoken.",正确！选项 B。,¡Correcto! Opción B.,Speaking = incomplete.,选项 C。,Opción C.,Has spoken = active perfect.,选项 D。,Opción D.,Passive for general facts when the doer is unimportant.,Passive for general facts when the doer is unimportant.,Passive for general facts when the doer is unimportant.,2,draft,
passive_formation_q01,passive,formation,1,multiple_choice_single,The letters ___ every morning.,The letters ___ every morning.,The letters ___ every morning.,deliver,deliver,deliver,are delivered,are delivered,are delivered,delivering,delivering,delivering,have deliver,have deliver,have deliver,B,Deliver = active base form.,选项 A。,Opción A.,Correct! Are delivered = passive present.,正确！选项 B。,¡Correcto! Opción B.,Delivering = incomplete.,选项 C。,Opción C.,Have deliver = ungrammatical (missing past participle).,选项 D。,Opción D.,Passive present simple: am/is/are + past participle.,Passive present simple: am/is/are + past participle.,Passive present simple: am/is/are + past participle.,2,draft,
passive_formation_q02,passive,formation,2,multiple_choice_single,The thief ___ by the police yesterday.,The thief ___ by the police yesterday.,The thief ___ by the police yesterday.,catches,catches,catches,was caught,was caught,was caught,caught,caught,caught,is catching,is catching,is catching,B,Catches = active present.,选项 A。,Opción A.,Correct! Was caught = passive past.,正确！选项 B。,¡Correcto! Opción B.,Caught = active past.,选项 C。,Opción C.,Is catching = active continuous.,选项 D。,Opción D.,Passive past simple: was/were + past participle.,Passive past simple: was/were + past participle.,Passive past simple: was/were + past participle.,2,draft,
passive_formation_q03,passive,formation,3,multiple_choice_single,A new hospital ___ in our city next year.,A new hospital ___ in our city next year.,A new hospital ___ in our city next year.,builds,builds,builds,will be built,will be built,will be built,is building,is building,is building,built,built,built,B,Builds = active present.,选项 A。,Opción A.,Correct! Will be built = passive future.,正确！选项 B。,¡Correcto! Opción B.,Is building = active continuous.,选项 C。,Opción C.,Built = active past.,选项 D。,Opción D.,Passive future: will be + past participle.,Passive future: will be + past participle.,Passive future: will be + past participle.,2,draft,
passive_formation_q04,passive,formation,4,multiple_choice_single,The work ___ yet.,The work ___ yet.,The work ___ yet.,has not finished,has not finished,has not finished,has not been finished,has not been finished,has not been finished,did not finish,did not finish,did not finish,is not finishing,is not finishing,is not finishing,B,"Has not finished = active, work is the doer.",选项 A。,Opción A.,Correct! Has not been finished = passive perfect.,正确！选项 B。,¡Correcto! Opción B.,Did not finish = active past.,选项 C。,Opción C.,Is not finishing = active continuous.,选项 D。,Opción D.,Passive present perfect: has/have been + past participle.,Passive present perfect: has/have been + past participle.,Passive present perfect: has/have been + past participle.,2,draft,
passive_agent_q01,passive,agent,1,multiple_choice_single,The book ___ by Mark Twain.,The book ___ by Mark Twain.,The book ___ by Mark Twain.,wrote,wrote,wrote,was written,was written,was written,writes,writes,writes,is writing,is writing,is writing,B,Wrote = active past.,选项 A。,Opción A.,Correct! Was written by = passive with agent.,正确！选项 B。,¡Correcto! Opción B.,Writes = active present.,选项 C。,Opción C.,Is writing = active continuous.,选项 D。,Opción D.,Passive with agent: be + pp + by + doer.,Passive with agent: be + pp + by + doer.,Passive with agent: be + pp + by + doer.,2,draft,
passive_agent_q02,passive,agent,2,multiple_choice_single,My wallet ___. (the doer is unknown),My wallet ___. (the doer is unknown),My wallet ___. (the doer is unknown),someone stole,someone stole,someone stole,was stolen,was stolen,was stolen,stole,stole,stole,has stolen,has stolen,has stolen,B,"Someone stole = active, names doer.",选项 A。,Opción A.,"Correct! Was stolen = passive, doer unknown.",正确！选项 B。,¡Correcto! Opción B.,"Stole = active, needs subject.",选项 C。,Opción C.,"Has stolen = active, needs subject.",选项 D。,Opción D.,Passive without agent when doer is unknown or unimportant.,Passive without agent when doer is unknown or unimportant.,Passive without agent when doer is unknown or unimportant.,2,draft,
